Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
New Mexico,US,4/13/2020 23:07,34.8405,-106.2485,1262,26,295,1236,35,75.68066119,30515,80,2.06022187,84000035,USA,1829.948793,6.339144216
New York,US,4/13/2020 23:07,42.1657,-74.9481,195749,10058,23887,185691,36,1160.955517,478357,42712,5.138212711,84000036,USA,2837.057652,21.81977941
North Carolina,US,4/13/2020 23:07,35.6301,-79.8064,4886,94,,4792,37,49.26458541,63388,313,1.923864102,84000037,USA,639.1288456,6.406058125
North Dakota,US,4/13/2020 23:07,47.5289,-99.784,331,8,127,323,38,54.58281252,10781,40,2.416918429,84000038,USA,1777.816622,12.08459215
Northern Mariana Islands,US,4/13/2020 23:07,15.0979,145.6739,11,2,,9,69,19.9477731,38,,18.18181818,580,MNP,68.9104889,
Ohio,US,4/13/2020 23:07,40.3888,-82.7649,6975,274,,6701,39,62.42247531,65112,2033,3.928315412,84000039,USA,582.7171631,29.14695341
Oklahoma,US,4/13/2020 23:07,35.5653,-96.9289,2069,99,865,1970,40,56.56662203,22859,457,4.784920251,84000040,USA,624.9668502,22.0879652
Oregon,US,4/13/2020 23:07,44.572,-122.0709,1584,53,,1531,41,39.53009103,31121,369,3.345959596,84000041,USA,776.6514918,23.29545455
Pennsylvania,US,4/13/2020 23:07,40.5908,-77.2098,24292,589,,23703,42,192.9851503,129792,2243,2.424666557,84000042,USA,1031.118419,9.233492508
Puerto Rico,US,4/13/2020 23:07,18.2208,-66.5901,903,45,,858,72,30.78330733,6863,,4.983388704,630,PRI,233.9599537,
Rhode Island,US,4/13/2020 23:07,41.6809,-71.5118,2665,63,135,2602,44,251.5667464,20661,331,2.363977486,84000044,USA,1950.326659,12.42026266
South Carolina,US,4/13/2020 23:07,33.8569,-80.945,3391,82,,3309,45,67.28207977,31425,496,2.418165733,84000045,USA,623.5149976,14.6269537
South Dakota,US,4/13/2020 23:07,44.2998,-99.4388,868,6,207,862,46,117.9520908,9002,44,0.69124424,84000046,USA,1223.277329,5.069124424
Tennessee,US,4/13/2020 23:07,35.7478,-86.6923,5610,109,1671,5501,47,85.45408488,76195,579,1.942959002,84000047,USA,1160.637076,10.32085561
Texas,US,4/13/2020 23:07,31.0545,-97.5635,14275,305,2269,13970,48,62.10690733,133226,1176,2.136602452,84000048,USA,579.6325629,8.238178634
Utah,US,4/13/2020 23:07,40.15,-111.8624,2363,13,218,2350,49,82.45280162,45787,201,0.550148117,84000049,USA,1597.658243,8.506136267
Vermont,US,4/13/2020 23:07,44.0459,-72.7107,748,28,15,720,50,122.5042623,10366,33,3.743315508,84000050,USA,1697.699442,4.411764706
Virgin Islands,US,4/13/2020 23:07,18.3358,-64.8963,51,1,43,50,78,47.54446806,373,,1.960784314,850,VIR,347.727188,
Virginia,US,4/13/2020 23:07,37.7693,-78.17,5747,149,,5598,51,72.68031915,41401,1238,2.592657038,84000051,USA,523.5841123,21.54167392
