,Area_name,all_ages_poverty_2018,all_ages_poverty_rate_2018,median_HH_2018
1747,Otoe County,"1,464",9.4,60734
1748,Pawnee County,357,13.8,45487
1749,Perkins County,297,10.3,57251
1750,Phelps County,828,9.5,59003
1751,Pierce County,690,9.8,57367
1752,Platte County,"2,789",8.5,63656
1753,Polk County,441,8.5,59815
1754,Red Willow County,"1,135",11.0,49034
1755,Richardson County,"1,004",13.0,47573
1756,Rock County,194,14.6,48260
1757,Saline County,"1,649",12.4,54569
1758,Sarpy County,"10,399",5.7,79358
1759,Saunders County,"1,637",7.8,67897
1760,Scotts Bluff County,"5,021",14.3,50247
1761,Seward County,"1,155",7.2,71024
1762,Sheridan County,834,16.5,43819
1763,Sherman County,417,14.0,47499
1764,Sioux County,198,16.7,50861
1765,Stanton County,446,7.5,66228
1766,Thayer County,528,10.8,51299
1767,Thomas County,107,15.0,48275
1768,Thurston County,"1,725",23.9,45405
1769,Valley County,511,12.4,48604
1770,Washington County,"1,423",6.9,77838
1771,Wayne County,"1,177",13.9,55970
1772,Webster County,450,13.2,45058
1773,Wheeler County,112,14.0,53369
1774,York County,"1,255",9.7,61478
1775,Nevada,"391,347",13.1,58740
1776,Churchill County,"2,756",11.4,58429
1777,Clark County,"307,977",14.0,57155
1778,Douglas County,"3,457",7.2,70495
1779,Elko County,"4,276",8.3,79134
1780,Esmeralda County,119,14.4,50179
1781,Eureka County,189,9.5,70036
1782,Humboldt County,"1,977",11.9,72873
1783,Lander County,616,11.1,79278
1784,Lincoln County,655,13.4,55504
1785,Lyon County,"5,803",10.5,59732
1786,Mineral County,941,21.1,44438
1787,Nye County,"6,725",15.2,47031
1788,Pershing County,889,18.3,42522
1789,Storey County,306,7.6,68236
1790,Washoe County,"47,627",10.4,63636
1791,White Pine County,"1,082",13.3,58942
1792,Carson City,"5,952",11.3,56382
1793,New Hampshire,"100,076",7.6,75322
1794,Belknap County,"4,149",6.9,64777
1795,Carroll County,"4,358",9.0,59413
1796,Cheshire County,"7,307",10.2,60251
1797,Coos County,"3,828",13.1,44259
1798,Grafton County,"7,427",9.0,65163
1799,Hillsborough County,"30,147",7.4,78714
1800,Merrimack County,"10,149",7.0,74351
1801,Rockingham County,"16,270",5.3,93645
1802,Strafford County,"11,673",9.7,69919
1803,Sullivan County,"4,768",11.2,60034
1804,New Jersey,"831,386",9.5,81777
1805,Atlantic County,"33,167",12.8,60826
1806,Bergen County,"63,403",6.8,100181
1807,Burlington County,"26,786",6.2,84470
1808,Camden County,"64,417",12.9,67135
1809,Cape May County,"9,325",10.3,62175
1810,Cumberland County,"21,430",15.2,51790
1811,Essex County,"116,246",14.9,62875
1812,Gloucester County,"21,869",7.6,81315
1813,Hudson County,"95,704",14.3,73337
1814,Hunterdon County,"5,317",4.4,112335
1815,Mercer County,"38,279",10.9,79979
1816,Middlesex County,"65,823",8.2,87666
1817,Monmouth County,"41,380",6.7,99223
1818,Morris County,"22,980",4.7,112396
1819,Ocean County,"57,366",9.7,68483
1820,Passaic County,"67,374",13.6,71959
1821,Salem County,"6,891",11.2,64524
1822,Somerset County,"16,112",4.9,119731
1823,Sussex County,"7,233",5.2,92284
1824,Union County,"43,279",7.8,80737
1825,Warren County,"7,006",6.7,77571
1826,New Mexico,"386,739",18.8,47405
1827,Bernalillo County,"109,959",16.5,51372
1828,Catron County,827,23.3,34777
1829,Chaves County,"11,872",18.9,43527
1830,Cibola County,"6,910",28.6,38097
1831,Colfax County,"2,315",19.8,41592
1832,Curry County,"8,239",17.2,47202
1833,DeBaca County,361,20.4,35087
1834,Dona Ana County,"52,914",24.9,38409
1835,Eddy County,"8,981",15.7,58320
1836,Grant County,"5,535",20.7,38341
1837,Guadalupe County,915,24.3,29515
1838,Harding County,109,16.7,37544
1839,Hidalgo County,"1,070",25.7,39882
