,Area_name,all_ages_poverty_2018,all_ages_poverty_rate_2018,median_HH_2018
2658,Gregg County,"18,108",15.1,50610
2659,Grimes County,"4,444",17.5,49498
2660,Guadalupe County,"13,716",8.5,73864
2661,Hale County,"5,715",18.4,42782
2662,Hall County,718,24.1,32597
2663,Hamilton County,"1,221",14.7,49210
2664,Hansford County,626,11.6,57240
2665,Hardeman County,680,17.4,42469
2666,Hardin County,"7,035",12.4,60909
2667,Harris County,"767,367",16.5,60241
2668,Harrison County,"9,584",14.7,50131
2669,Hartley County,429,9.5,72451
2670,Haskell County,"1,220",23.1,40880
2671,Hays County,"28,293",13.2,68180
2672,Hemphill County,366,9.6,66849
2673,Henderson County,"15,718",19.4,43337
2674,Hidalgo County,"256,985",30.0,38785
2675,Hill County,"4,460",12.6,48670
2676,Hockley County,"4,300",19.5,46764
2677,Hood County,"6,108",10.2,60917
2678,Hopkins County,"5,320",14.6,52079
2679,Houston County,"5,323",26.1,39533
2680,Howard County,"6,263",20.6,50423
2681,Hudspeth County,838,17.8,42671
2682,Hunt County,"12,715",13.6,53360
2683,Hutchinson County,"2,708",13.0,54351
2684,Irion County,123,8.1,56775
2685,Jack County,"1,359",17.7,48780
2686,Jackson County,"1,885",12.9,54088
2687,Jasper County,"6,682",19.2,47551
2688,Jeff Davis County,284,13.1,51343
2689,Jefferson County,"44,682",18.7,48121
2690,Jim Hogg County,"1,318",25.2,36176
2691,Jim Wells County,"8,552",21.2,41919
2692,Johnson County,"17,965",10.7,62635
2693,Jones County,"3,232",22.0,43903
2694,Karnes County,"2,751",21.8,48743
2695,Kaufman County,"14,539",11.5,67434
2696,Kendall County,"3,361",7.5,90937
2697,Kenedy County,63,14.3,42153
2698,Kent County,89,13.3,47625
2699,Kerr County,"7,023",13.9,53704
2700,Kimble County,760,17.6,42503
2701,King County,38,13.7,57925
2702,Kinney County,724,21.1,43192
2703,Kleberg County,"7,369",25.0,42605
2704,Knox County,723,20.4,39726
2705,Lamar County,"7,066",14.4,45767
2706,Lamb County,"2,587",20.0,42700
2707,Lampasas County,"2,713",12.9,55151
2708,La Salle County,"1,737",29.6,40072
2709,Lavaca County,"2,644",13.5,51128
2710,Lee County,"2,049",12.3,55834
2711,Leon County,"2,679",15.6,47065
2712,Liberty County,"12,252",15.1,52577
2713,Limestone County,"4,860",22.2,43226
2714,Lipscomb County,397,12.0,57332
2715,Live Oak County,"2,067",18.7,48814
2716,Llano County,"2,628",12.3,54019
2717,Loving County,5,3.3,78637
2718,Lubbock County,"52,037",17.6,50377
2719,Lynn County,"1,063",18.3,43436
2720,McCulloch County,"1,449",18.5,42719
2721,McLennan County,"46,457",18.9,48858
2722,McMullen County,82,11.1,64633
2723,Madison County,"2,122",17.9,45445
2724,Marion County,"2,135",21.9,38011
2725,Martin County,773,13.6,56484
2726,Mason County,541,12.7,49560
2727,Matagorda County,"6,639",18.4,48830
2728,Maverick County,"14,859",25.9,35594
2729,Medina County,"5,988",12.3,59304
2730,Menard County,452,21.6,35881
2731,Midland County,"17,351",10.1,80189
2732,Milam County,"3,839",15.6,46720
2733,Mills County,693,14.6,47068
2734,Mitchell County,"1,432",21.4,48529
2735,Montague County,"2,668",13.8,50542
2736,Montgomery County,"54,400",9.3,77598
2737,Moore County,"2,588",12.2,53785
2738,Morris County,"2,462",20.2,41418
2739,Motley County,219,17.8,41009
2740,Nacogdoches County,"13,110",21.6,45357
2741,Navarro County,"9,739",20.0,46259
2742,Newton County,"2,898",22.3,43367
2743,Nolan County,"2,615",18.2,42522
2744,Nueces County,"57,694",16.2,53034
2745,Ochiltree County,"1,040",10.5,49845
2746,Oldham County,245,13.0,56590
2747,Orange County,"11,101",13.4,56556
2748,Palo Pinto County,"4,529",15.9,46067
2749,Panola County,"3,578",15.7,51192
2750,Parker County,"11,289",8.3,73718
2751,Parmer County,"1,325",13.5,50539
2752,Pecos County,"2,650",19.5,47008
2753,Polk County,"6,834",15.0,46017
2754,Potter County,"22,262",19.7,41912
2755,Presidio County,"1,557",22.4,37738
2756,Rains County,"1,752",14.5,47572
2757,Randall County,"11,343",8.5,69600
2758,Reagan County,371,10.0,65273
2759,Real County,616,18.1,39506
2760,Red River County,"2,185",18.2,42233
2761,Reeves County,"2,693",21.5,45341
2762,Refugio County,"1,125",16.3,44821
2763,Roberts County,70,7.8,67470
2764,Robertson County,"2,699",15.8,44917
2765,Rockwall County,"5,125",5.1,102858
2766,Runnels County,"1,692",16.9,42205
2767,Rusk County,"7,900",16.4,49788
2768,Sabine County,"1,845",17.6,40641
2769,San Augustine County,"1,777",22.2,38826
2770,San Jacinto County,"4,981",17.5,47028
2771,San Patricio County,"11,425",17.3,53559
2772,San Saba County,896,16.8,43827
2773,Schleicher County,476,16.5,47317
2774,Scurry County,"2,408",15.8,53059
2775,Shackelford County,432,13.4,57126
2776,Shelby County,"5,173",20.6,41961
2777,Sherman County,368,12.1,57052
2778,Smith County,"33,744",15.0,56848
2779,Somervell County,854,9.7,63929
2780,Starr County,"21,151",33.2,30490
2781,Stephens County,"1,696",19.4,43115
2782,Sterling County,161,12.6,59064
2783,Stonewall County,194,14.6,46915
2784,Sutton County,531,14.2,54774
2785,Swisher County,"1,312",19.2,43084
2786,Tarrant County,"248,032",12.1,66059
2787,Taylor County,"21,301",16.0,48040
2788,Terrell County,155,18.9,41413
2789,Terry County,"2,529",22.4,41268
2790,Throckmorton County,217,14.3,42701
2791,Titus County,"6,035",18.6,45604
2792,Tom Green County,"17,558",15.5,51393
2793,Travis County,"146,724",12.0,76255
2794,Trinity County,"2,581",17.7,40486
2795,Tyler County,"3,584",18.2,44041
2796,Upshur County,"6,455",15.9,48554
2797,Upton County,512,14.2,53867
2798,Uvalde County,"5,999",22.9,39725
2799,Val Verde County,"8,950",18.9,44276
2800,Van Zandt County,"8,598",15.6,51152
2801,Victoria County,"13,855",15.4,51646
2802,Walker County,"14,525",26.1,43681
2803,Waller County,"7,776",15.9,59807
2804,Ward County,"1,611",13.9,53621
2805,Washington County,"4,566",13.8,54332
2806,Webb County,"69,860",25.7,44919
2807,Wharton County,"6,909",16.8,48040
2808,Wheeler County,721,14.0,48018
2809,Wichita County,"21,221",17.8,47477
2810,Wilbarger County,"1,905",15.3,44735
2811,Willacy County,"6,369",35.0,33171
2812,Williamson County,"35,829",6.4,87817
2813,Wilson County,"5,400",10.9,71207
2814,Winkler County,"1,069",14.1,56781
2815,Wise County,"6,643",9.9,66387
2816,Wood County,"6,625",15.3,48384
2817,Yoakum County,"1,028",12.1,61560
2818,Young County,"2,468",13.9,49301
2819,Zapata County,"4,529",32.1,33160
2820,Zavala County,"3,701",32.0,30076
2821,Utah,"283,562",9.1,71381
2822,Beaver County,613,9.4,55940
2823,Box Elder County,"3,986",7.3,62689
2824,Cache County,"15,830",12.9,60315
2825,Carbon County,"2,853",14.4,51394
2826,Daggett County,64,6.5,58910
2827,Davis County,"19,798",5.7,84381
2828,Duchesne County,"2,335",11.9,60767
2829,Emery County,"1,247",12.5,54213
2830,Garfield County,551,11.2,51028
2831,Grand County,"1,092",11.3,50750
2832,Iron County,"7,444",14.4,51393
2833,Juab County,968,8.5,65379
2834,Kane County,779,10.5,52355
2835,Millard County,"1,453",11.3,58644
2836,Morgan County,478,4.0,98875
2837,Piute County,262,18.6,40387
2838,Rich County,218,8.9,60695
2839,Salt Lake County,"102,660",9.0,73619
2840,San Juan County,"3,419",22.6,42982
2841,Sanpete County,"4,116",14.8,52910
2842,Sevier County,"2,544",12.0,54339
2843,Summit County,"2,570",6.2,105374
2844,Tooele County,"4,744",6.8,73584
2845,Uintah County,"4,031",11.5,63631
2846,Utah County,"57,136",9.4,75296
2847,Wasatch County,"1,750",5.3,85380
2848,Washington County,"16,435",9.7,57069
2849,Wayne County,347,12.9,47175
2850,Weber County,"23,839",9.4,68106
2851,Vermont,"64,431",10.7,60917
2852,Addison County,"3,042",8.9,68878
2853,Bennington County,"3,905",11.4,52510
2854,Caledonia County,"3,648",12.5,50368
2855,Chittenden County,"16,039",10.4,74240
2856,Essex County,964,15.5,43671
2857,Franklin County,"5,398",11.1,61129
2858,Grand Isle County,579,8.2,67746
2859,Lamoille County,"2,696",11.0,60230
2860,Orange County,"2,901",10.2,62300
2861,Orleans County,"3,194",12.2,48688
2862,Rutland County,"5,842",10.4,51723
2863,Washington County,"6,031",10.8,61808
2864,Windham County,"4,965",12.0,54441
2865,Windsor County,"5,227",9.6,57438
2866,Virginia,"884,898",10.7,72600
2867,Accomack County,"5,552",17.3,42879
2868,Albemarle County,"8,912",8.7,80392
2869,Alleghany County,"2,164",14.8,46538
2870,Amelia County,"1,273",9.9,57280
2871,Amherst County,"3,969",13.0,50580
2872,Appomattox County,"2,123",13.5,51131
2873,Arlington County,"14,842",6.3,120950
2874,Augusta County,"6,531",9.0,60556
2875,Bath County,451,10.7,50564
2876,Bedford County,"8,162",10.4,61186
2877,Bland County,786,14.1,47681
2878,Botetourt County,"2,441",7.4,71874
2879,Brunswick County,"3,187",22.5,41803
2880,Buchanan County,"5,568",27.6,32144
2881,Buckingham County,"2,993",20.2,45889
2882,Campbell County,"6,132",11.3,51525
2883,Caroline County,"2,930",9.7,67335
2884,Carroll County,"4,605",15.7,41517
2885,Charles City County,851,12.3,56872
2886,Charlotte County,"2,264",19.3,41382
2887,Chesterfield County,"26,093",7.6,80734
2888,Clarke County,934,6.5,84021
2889,Craig County,599,11.9,50858
2890,Culpeper County,"4,375",8.7,72111
2891,Cumberland County,"1,535",15.7,46300
2892,Dickenson County,"3,520",25.2,35047
2893,Dinwiddie County,"3,486",12.5,57257
2894,Essex County,"1,478",13.7,50785
2895,Fairfax County,"69,377",6.1,122035
2896,Fauquier County,"4,260",6.1,93462
2897,Floyd County,"1,922",12.3,48315
2898,Fluvanna County,"1,749",6.9,73463
2899,Franklin County,"8,390",15.3,53522
2900,Frederick County,"6,107",7.0,77684
2901,Giles County,"2,064",12.4,50591
2902,Gloucester County,"3,348",9.1,70938
2903,Goochland County,"1,498",6.7,89331
2904,Grayson County,"2,686",18.4,37550
2905,Greene County,"1,583",8.1,67498
2906,Greensville County,"2,183",26.7,43533
2907,Halifax County,"4,825",14.5,43096
2908,Hanover County,"5,509",5.2,91028
2909,Henrico County,"29,502",9.0,68581
2910,Henry County,"10,068",20.0,36471
2911,Highland County,280,12.7,45089
2912,Isle of Wight County,"3,368",9.2,72993
2913,James City County,"5,288",7.0,86541
2914,King and Queen County,858,12.2,51124
2915,King George County,"1,786",6.8,86619
2916,King William County,"1,223",7.3,68724
2917,Lancaster County,"1,306",12.3,52814
2918,Lee County,"5,461",24.8,34796
2919,Loudoun County,"14,700",3.6,140382
2920,Louisa County,"4,140",11.3,63714
2921,Lunenburg County,"2,008",18.2,41421
2922,Madison County,"1,330",10.1,60450
2923,Mathews County,812,9.3,61764
2924,Mecklenburg County,"5,565",18.7,44832
2925,Middlesex County,"1,317",12.7,54871
2926,Montgomery County,"21,444",24.1,52538
2927,Nelson County,"1,814",12.3,56690
2928,New Kent County,"1,132",5.2,90858
2929,Northampton County,"2,167",18.8,43157
2930,Northumberland County,"1,790",14.8,55418
2931,Nottoway County,"2,952",22.4,46368
2932,Orange County,"3,387",9.4,63681
2933,Page County,"3,293",13.9,49073
2934,Patrick County,"2,683",15.5,42862
2935,Pittsylvania County,"9,815",16.4,44710
2936,Powhatan County,"1,931",6.9,88475
2937,Prince Edward County,"3,782",20.0,48450
2938,Prince George County,"3,019",8.9,68133
2939,Prince William County,"29,545",6.4,106200
2940,Pulaski County,"4,791",14.6,50834
2941,Rappahannock County,629,8.7,71035
2942,Richmond County,"1,169",15.9,49399
2943,Roanoke County,"6,145",6.7,68734
2944,Rockbridge County,"2,670",12.0,53413
2945,Rockingham County,"6,909",8.7,61375
2946,Russell County,"5,683",21.5,38966
2947,Scott County,"3,834",18.5,40161
2948,Shenandoah County,"4,479",10.4,55283
2949,Smyth County,"6,059",20.4,40972
2950,Southampton County,"2,350",14.7,52741
2951,Spotsylvania County,"10,061",7.5,86695
2952,Stafford County,"7,822",5.4,108421
2953,Surry County,831,12.9,54663
2954,Sussex County,"1,980",22.9,43031
2955,Tazewell County,"7,104",18.2,42074
2956,Warren County,"4,026",10.3,65635
2957,Washington County,"8,022",15.2,45510
2958,Westmoreland County,"2,914",16.4,51414
2959,Wise County,"8,929",25.4,38045
2960,Wythe County,"4,391",15.4,46345
2961,York County,"3,690",5.5,86317
2962,Alexandria city,"16,093",10.1,99425
2963,Bristol city,"3,324",20.5,36903
2964,Buena Vista city,872,15.2,43390
2965,Charlottesville city,"10,614",23.1,56997
2966,Chesapeake city,"20,239",8.5,78846
2967,Colonial Heights city,"1,756",10.0,56800
2968,Covington city,826,15.4,40504
2969,Danville city,"10,006",25.6,36015
2970,Emporia city,"1,010",20.7,36908
2971,Fairfax city,"1,823",7.6,105532
2972,Falls Church city,535,3.6,137551
2973,Franklin city,"1,444",18.3,37327
2974,Fredericksburg city,"3,851",14.5,58448
2975,Galax city,"1,326",21.7,36571
2976,Hampton city,"19,954",15.4,54763
2977,Harrisonburg city,"12,978",28.0,42640
2978,Hopewell city,"4,381",19.7,42568
2979,Lexington city,"1,046",23.8,48726
2980,Lynchburg city,"14,789",20.8,43200
2981,Manassas city,"3,451",8.4,79141
2982,Manassas Park city,"1,203",7.0,77032
2983,Martinsville city,"3,098",24.7,33892
2984,Newport News city,"26,007",15.2,50283
2985,Norfolk city,"41,471",19.7,48519
2986,Norton city,811,20.8,34442
2987,Petersburg city,"7,491",24.1,37049
2988,Poquoson city,618,5.1,96057
2989,Portsmouth city,"17,540",19.2,47343
2990,Radford city,"4,513",30.4,39254
2991,Richmond city,"48,424",22.3,48747
2992,Roanoke city,"19,812",20.2,42715
2993,Salem city,"2,280",9.7,57274
2994,Staunton city,"2,937",12.3,47319
2995,Suffolk city,"9,846",10.9,69753
2996,Virginia Beach city,"33,084",7.5,76520
2997,Waynesboro city,"3,370",15.1,47117
2998,Williamsburg city,"2,437",23.0,52845
2999,Winchester city,"4,124",15.3,51456
3000,Washington,"761,941",10.3,74023
3001,Adams County,"3,046",15.6,52012
3002,Asotin County,"3,133",14.0,49776
3003,Benton County,"19,597",9.8,69212
3004,Chelan County,"8,283",10.9,57243
3005,Clallam County,"9,968",13.3,57183
3006,Clark County,"41,980",8.8,73971
3007,Columbia County,533,13.3,53700
3008,Cowlitz County,"13,165",12.2,58624
3009,Douglas County,"4,450",10.4,65912
3010,Ferry County,"1,347",17.8,40468
3011,Franklin County,"12,250",13.4,60483
3012,Garfield County,306,13.8,50185
3013,Grant County,"12,235",12.7,53688
3014,Grays Harbor County,"12,295",17.3,48763
3015,Island County,"6,219",7.5,65987
3016,Jefferson County,"3,949",12.7,55893
3017,King County,"202,628",9.2,94822
3018,Kitsap County,"23,613",9.1,76530
3019,Kittitas County,"7,049",15.8,55624
3020,Klickitat County,"2,799",12.7,56503
3021,Lewis County,"9,832",12.5,57019
3022,Lincoln County,"1,330",12.5,53326
3023,Mason County,"8,578",13.7,58239
3024,Okanogan County,"7,049",17.0,48345
3025,Pacific County,"3,354",15.4,46365
3026,Pend Oreille County,"2,021",15.0,49750
3027,Pierce County,"76,391",8.7,75022
3028,San Juan County,"1,732",10.2,62249
3029,Skagit County,"12,239",9.7,70955
3030,Skamania County,"1,390",11.7,64344
3031,Snohomish County,"60,590",7.5,87096
3032,Spokane County,"65,365",13.0,59408
3033,Stevens County,"6,045",13.5,51183
3034,Thurston County,"24,459",8.7,72400
3035,Wahkiakum County,475,10.9,55692
3036,Walla Walla County,"7,483",13.3,57329
3037,Whatcom County,"32,753",14.9,62262
3038,Whitman County,"11,053",25.4,45389
3039,Yakima County,"40,961",16.5,51377
3040,West Virginia,"305,656",17.4,44038
3041,Barbour County,"3,110",20.0,39776
3042,Berkeley County,"13,275",11.5,59619
3043,Boone County,"4,890",22.5,38110
3044,Braxton County,"2,953",21.6,39292
3045,Brooke County,"2,930",13.7,48342
3046,Cabell County,"17,242",19.3,39790
3047,Calhoun County,"1,637",22.8,36384
3048,Clay County,"2,142",25.1,35983
3049,Doddridge County,"1,418",19.0,44725
3050,Fayette County,"9,236",22.5,37867
3051,Gilmer County,"1,521",24.8,38173
3052,Grant County,"1,703",14.9,42146
3053,Greenbrier County,"5,389",15.8,37665
3054,Hampshire County,"4,568",20.0,44442
3055,Hancock County,"3,788",13.2,47299
3056,Hardy County,"1,753",12.9,43573
3057,Harrison County,"11,089",16.7,47942
3058,Jackson County,"4,732",16.7,48731
3059,Jefferson County,"5,403",9.7,75027
3060,Kanawha County,"30,248",17.1,41926
3061,Lewis County,"2,718",17.3,40691
3062,Lincoln County,"4,756",23.3,39766
3063,Logan County,"7,821",24.6,34894
3064,McDowell County,"6,386",35.4,27292
3065,Marion County,"9,084",16.6,46244
3066,Marshall County,"4,200",13.9,50064
3067,Mason County,"4,391",16.9,43050
3068,Mercer County,"13,157",22.7,37860
3069,Mineral County,"3,793",14.5,48578
3070,Mingo County,"6,386",27.0,32917
3071,Monongalia County,"18,156",18.3,51070
3072,Monroe County,"1,960",14.9,38171
3073,Morgan County,"1,894",10.8,49487
3074,Nicholas County,"4,659",19.0,38572
3075,Ohio County,"4,953",12.5,48689
3076,Pendleton County,"1,003",14.6,40415
3077,Pleasants County,919,13.6,50768
3078,Pocahontas County,"1,408",17.5,39467
3079,Preston County,"5,104",16.2,47101
3080,Putnam County,"5,630",10.0,61995
3081,Raleigh County,"14,596",20.7,41298
3082,Randolph County,"5,128",19.4,40064
3083,Ritchie County,"1,644",17.2,43717
3084,Roane County,"3,046",22.1,36658
3085,Summers County,"3,144",26.9,34768
3086,Taylor County,"2,626",16.1,46370
3087,Tucker County,907,13.5,48070
3088,Tyler County,"1,341",15.5,46054
3089,Upshur County,"4,377",19.0,41213
3090,Wayne County,"8,298",20.9,38704
3091,Webster County,"1,884",23.0,34054
3092,Wetzel County,"2,756",18.3,44685
3093,Wirt County,"1,086",18.7,44837
3094,Wood County,"12,449",15.0,45278
3095,Wyoming County,"4,969",24.1,35460
3096,Wisconsin,"626,748",11.1,60779
3097,Adams County,"2,924",15.3,43000
3098,Ashland County,"2,356",15.8,44627
3099,Barron County,"5,482",12.3,50344
3100,Bayfield County,"2,103",14.2,53637
3101,Brown County,"21,944",8.6,62097
3102,Buffalo County,"1,142",8.8,59087
3103,Burnett County,"1,628",10.7,55295
3104,Calumet County,"2,623",5.3,72645
3105,Chippewa County,"6,925",11.3,59528
3106,Clark County,"4,052",11.9,55245
3107,Columbia County,"4,255",7.6,65435
3108,Crawford County,"2,007",12.9,49200
3109,Dane County,"57,062",10.8,71789
3110,Dodge County,"7,283",8.9,63608
3111,Door County,"2,289",8.4,61221
3112,Douglas County,"4,902",11.7,50637
3113,Dunn County,"5,213",12.5,57506
3114,Eau Claire County,"12,906",12.9,60111
3115,Florence County,506,11.9,53188
3116,Fond du Lac County,"9,513",9.5,59428
3117,Forest County,"1,294",14.7,45156
3118,Grant County,"6,595",14.0,57328
3119,Green County,"2,794",7.7,63160
3120,Green Lake County,"2,064",11.0,55512
3121,Iowa County,"1,933",8.2,68017
3122,Iron County,733,13.2,44130
3123,Jackson County,"2,289",12.0,52919
3124,Jefferson County,"6,701",8.1,65831
3125,Juneau County,"3,388",13.4,52891
3126,Kenosha County,"19,819",12.0,65013
3127,Kewaunee County,"1,472",7.3,63612
3128,La Crosse County,"12,334",10.9,60619
3129,Lafayette County,"1,860",11.3,60711
3130,Langlade County,"2,392",12.7,51334
3131,Lincoln County,"2,862",10.6,56645
3132,Manitowoc County,"8,124",10.4,56466
3133,Marathon County,"10,027",7.5,63442
3134,Marinette County,"4,777",12.0,50670
3135,Marquette County,"1,643",10.8,46964
3136,Menominee County,"1,215",26.5,40682
3137,Milwaukee County,"177,263",19.1,49771
3138,Monroe County,"5,972",13.2,58391
3139,Oconto County,"3,441",9.2,59983
3140,Oneida County,"3,266",9.4,53805
3141,Outagamie County,"13,196",7.2,65993
3142,Ozaukee County,"3,674",4.2,83014
3143,Pepin County,738,10.3,56348
3144,Pierce County,"3,363",8.5,75421
3145,Polk County,"4,148",9.6,59990
3146,Portage County,"7,635",11.3,59032
3147,Price County,"1,638",12.4,47032
3148,Racine County,"24,084",12.6,60349
3149,Richland County,"2,438",14.3,53050
3150,Rock County,"17,477",10.9,57675
3151,Rusk County,"2,001",14.3,48448
3152,St. Croix County,"4,179",4.7,82575
3153,Sauk County,"5,416",8.6,57256
3154,Sawyer County,"2,338",14.5,46490
3155,Shawano County,"3,836",9.6,56022
3156,Sheboygan County,"8,432",7.5,61906
3157,Taylor County,"2,072",10.3,56981
3158,Trempealeau County,"2,297",8.0,56978
3159,Vernon County,"4,126",13.6,51692
3160,Vilas County,"2,359",10.9,47198
3161,Walworth County,"10,114",10.1,64234
3162,Washburn County,"1,954",12.5,50482
3163,Washington County,"6,059",4.5,75799
3164,Waukesha County,"19,937",5.0,87333
3165,Waupaca County,"5,135",10.4,58648
3166,Waushara County,"2,503",10.9,52340
3167,Winnebago County,"16,915",10.4,57785
3168,Wood County,"7,313",10.1,55879
3169,Wyoming,"60,097",10.7,62259
3170,Albany County,"7,451",20.4,47561
3171,Big Horn County,"1,519",13.0,55195
3172,Campbell County,"4,200",9.2,78112
3173,Carbon County,"1,894",13.4,61773
3174,Converse County,"1,287",9.5,68162
3175,Crook County,604,8.2,64053
3176,Fremont County,"6,070",15.7,51204
3177,Goshen County,"1,567",12.9,51676
3178,Hot Springs County,604,13.5,49356
3179,Johnson County,859,10.3,57676
3180,Laramie County,"8,839",9.1,63839
3181,Lincoln County,"1,518",7.9,69598
3182,Natrona County,"7,677",9.9,64714
3183,Niobrara County,292,13.6,51036
3184,Park County,"2,921",10.2,58873
3185,Platte County,899,10.6,54165
3186,Sheridan County,"2,551",8.7,58307
3187,Sublette County,658,6.8,74570
3188,Sweetwater County,"3,540",8.4,73315
3189,Teton County,"1,443",6.3,99087
3190,Uinta County,"2,010",10.0,63401
3191,Washakie County,918,11.9,55190
3192,Weston County,777,11.8,54319
