,zipcode,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank
260,60642,0,6,15,0,6,0,0,0,11,0,12,0,0,10,0,0,18,15,0
261,60643,0,11,31,44,61,52,35,39,15,122,133,0,0,0,0,0,130,141,0
262,60644,6,28,45,52,64,43,31,18,0,199,73,0,0,6,0,0,134,149,0
263,60645,24,74,53,56,59,53,24,17,130,50,65,45,22,47,0,0,202,155,0
264,60646,0,11,14,11,18,6,0,0,27,0,20,0,0,10,0,0,37,28,0
265,60647,0,26,41,29,25,12,12,8,36,11,55,6,0,47,0,0,78,77,0
266,60649,0,17,30,33,36,35,42,28,0,165,50,0,0,0,0,0,94,126,0
267,60651,0,29,50,47,50,41,41,14,7,153,70,8,0,39,0,0,131,143,0
268,60652,0,10,33,35,42,29,12,0,16,63,69,0,0,15,0,0,88,77,0
269,60653,15,13,19,35,33,31,14,7,0,124,30,0,9,0,0,0,87,78,0
270,60654,0,14,21,0,0,0,0,0,19,0,16,0,0,0,0,0,24,22,0
271,60655,0,15,22,24,23,12,6,7,24,13,68,0,0,0,0,0,63,45,0
272,60656,0,12,13,17,16,11,0,0,27,0,28,0,6,8,0,0,48,28,0
273,60657,0,43,37,20,19,6,8,13,87,6,35,0,7,9,0,0,84,62,0
274,60659,9,25,29,34,36,31,19,14,60,12,36,38,25,25,0,0,106,89,0
275,60660,0,15,20,15,23,21,12,0,34,17,29,10,0,17,0,0,60,49,0
276,60661,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,10,0
277,60706,0,7,8,15,9,12,0,6,20,0,24,0,0,8,0,0,33,27,0
278,60707,0,13,21,20,37,22,9,0,38,19,48,6,0,15,0,0,60,67,0
279,60712,0,7,9,12,8,7,0,13,25,0,8,16,12,0,0,0,31,32,0
280,60714,0,20,8,10,17,21,10,16,29,0,24,12,18,15,0,0,43,57,0
281,60803,0,6,11,11,6,9,0,0,7,10,20,0,0,0,0,0,17,28,0
282,60804,6,47,48,61,50,29,9,0,73,16,54,33,0,79,0,0,129,122,0
283,60805,0,0,11,7,6,12,6,12,9,13,32,0,0,0,0,0,26,33,0
